age,campaign,previous,marital,education,default,housing,loan,contact,month,day_of_week,duration_group,emp.var.rate_sign,cons.conf.idx_group,admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,y
56,1,0,1,0,0,0,0,1,4,1,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,1,0,1,3,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,1,0,1,3,0,1,0,1,4,1,2,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,1,0,1,1,0,0,0,1,4,1,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,1,0,1,3,0,0,1,1,4,1,3,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,1,0,1,2,0,0,0,1,4,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,1,0,1,6,0,0,0,1,4,1,2,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,1,0,1,6,0,0,0,1,4,1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,1,0,2,3,0,0,1,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,1,0,0,0,0,1,0,1,4,1,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,1,0,1,1,0,1,0,1,4,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,1,0,1,2,0,1,1,1,4,1,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,1,0,1,1,0,1,0,1,4,1,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,1,0,1,1,0,1,1,1,4,1,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,1,0,1,2,0,1,1,1,4,1,3,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,1,0,2,2,0,0,0,1,4,1,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
